i,Title,Year,Rating,Branch,Original?
239,Medicine Man,1992,PG-13,Hollywood Pictures,
240,Blame It On The Bellboy,1992,PG-13,Hollywood Pictures,
241,Noises Off,1992,PG-13,Touchstone,
242,Straight Talk,1992,PG,Hollywood Pictures,
243,Newsies,1992,PG,Standard,A*
244,Passed Away,1992,PG-13,Hollywood Pictures,
245,Encino Man,1992,PG,Hollywood Pictures,
246,Sister Act,1992,PG,Touchstone,
247,"Honey, I Blew Up the Kid",1992,PG,Standard,S
248,A Stranger Among Us,1992,PG-13,Hollywood Pictures,
249,3 Ninjas,1992,PG,Touchstone,
250,The Gun in Betty Lou’s Handbag,1992,PG-13,Touchstone,
251,Crossing the Bridge,1992,R,Touchstone,
252,Sarafina!,1992,PG-13,Hollywood Pictures,
253,Captain Ron,1992,PG-13,Touchstone,
254,The Mighty Ducks,1992,PG,Standard,O
255,Consenting Adults,1992,R,Hollywood Pictures,
256,Aladdin,1992,G,Standard,A
257,The Distinguished Gentleman,1992,R,Hollywood Pictures,
258,The Muppet Christmas Carol,1992,G,Standard,A
259,Alive,1993,R,Touchstone,
260,Aspen Extreme,1993,PG-13,Hollywood Pictures,
261,The Cemetery Club,1993,PG-13,Touchstone,
262,Homeward Bound: The Incredible Journey,1993,G,Standard,R
263,Swing Kids,1993,PG-13,Hollywood Pictures,
264,A Far Off Place,1993,PG,Standard,A
265,Born Yesterday,1993,PG,Hollywood Pictures,
266,Adventures of Huck Finn,1993,PG,Standard,A
267,Indian Summer,1993,PG-13,Touchstone,
268,Bound by Honor,1993,R,Hollywood Pictures,
269,Super Mario Bros.,1993,PG,Hollywood Pictures,
270,Guilty as Sin,1993,R,Hollywood Pictures,
271,Life with Mikey,1993,PG,Touchstone,
272,What’s Love Got to Do with It,1993,R,Touchstone,
273,Son-In-Law,1993,PG-13,Hollywood Pictures,
274,Hocus Pocus,1993,PG,Standard,O
275,Another Stakeout,1993,PG-13,Touchstone,
276,My Boyfriend’s Back,1993,PG-13,Touchstone,
277,Father Hood,1993,PG-13,Hollywood Pictures,
278,The Joy Luck Club,1993,R,Hollywood Pictures,
279,Money for Nothing,1993,R,Hollywood Pictures,
280,The Program,1993,R,Touchstone,
281,Cool Runnings,1993,PG,Standard,A*
282,The Nightmare Before Christmas,1993,PG,Touchstone,
283,The Three Musketeers,1993,PG,Standard,A
284,Sister Act 2: Back in the Habit,1993,PG,Touchstone,
285,Tombstone,1993,R,Hollywood Pictures,
286,Cabin Boy,1994,PG-13,Touchstone,
287,The Air Up There,1994,PG,Hollywood Pictures,
288,Iron Will,1994,PG,Standard,A*
289,My Father the Hero,1994,PG,Touchstone,
290,Blank Check,1994,PG,Standard,O
291,Angie,1994,R,Hollywood Pictures,
292,The Ref,1994,R,Touchstone,
293,D2: The Mighty Ducks,1994,PG,Standard,S
294,Holy Matrimony,1994,PG-13,Hollywood Pictures,
295,White Fang 2: Myth of the White Wolf,1994,PG,Standard,AS
296,The Inkwell,1994,R,Touchstone,
297,When a Man Loves a Woman,1994,R,Touchstone,
298,Renaissance Man,1994,PG-13,Touchstone,
299,The Lion King,1994,G,Standard,O
300,I Love Trouble,1994,PG,Touchstone,
301,Angels in the Outfield,1994,PG,Standard,R
302,In the Army Now,1994,PG,Hollywood Pictures,
303,Color of Night,1994,R,Hollywood Pictures,
304,It's Pat,1994,PG-13,Touchstone,
305,Camp Nowhere,1994,PG,Hollywood Pictures,
306,A Simple Twist of Fate,1994,PG-13,Touchstone,
307,Quiz Show,1994,PG-13,Hollywood,
308,Terminal Velocity,1994,PG-13,Hollywood Pictures,
309,Ed Wood,1994,R,Touchstone,
310,Robert A. Heinlein's The Puppet Masters,1994,R,Hollywood Pictures,
311,Squanto: A Warrior's Tale,1994,PG,Standard,A*
312,The Santa Clause,1994,PG,Standard,A*
313,A Low Down Dirty Shame,1994,R,Hollywood Pictures,
314,Rudyard Kipling's The Jungle Book,1994,PG,Standard,R
315,Houseguest,1995,PG,Hollywood Pictures,
316,Bad Company,1995,R,Touchstone,
317,Miami Rhapsody,1995,PG-13,Hollywood Pictures,
318,The Jerky Boys,1995,R,Touchstone,
319,Heavyweights,1995,PG,Standard,O
320,Man of the House,1995,PG,Standard,O
321,Roommates,1995,PG,Hollywood Pictures,
322,Tall Tale,1995,PG,Standard,O
323,Funny Bones,1995,R,Hollywood Pictures,
324,Jefferson in Paris,1995,PG-13,Touchstone,
325,A Goofy Movie,1995,G,Standard,A
326,While You Were Sleeping,1995,PG,Hollywood Pictures,
327,A Pyromaniac's Love Story,1995,PG,Hollywood Pictures,
328,Crimson Tide,1995,R,Hollywood Pictures,
329,Mad Love,1995,PG-13,Touchstone,
330,Pocahontas,1995,G,Standard,A*
331,Judge Dredd,1995,R,Hollywood Pictures,
332,Operation Dumbo Drop,1995,PG,Standard,A*
333,Dangerous Minds,1995,R,Hollywood Pictures,
