Item,CCO Wikipedia link,CCO image link,CCO — Type,CCO — Start Date,CCO — End Date,Original?,Adaptation Type,Based on Real Life?
Furious 7 (2015),https://en.wikipedia.org/wiki/Furious_7,,Movie,2015,,0,Sequel,0
Fast & Furious 6 (2013),https://en.wikipedia.org/wiki/Fast_%26_Furious_6,,Movie,2013,,0,Sequel,0
Fast Five (2011),https://en.wikipedia.org/wiki/Fast_Five,,Movie,2011,,0,Sequel,0
Fast & Furious (2009),https://en.wikipedia.org/wiki/Fast_%26_Furious_(2009_film),,Movie,2009,,0,Sequel,0
Tokyo Drift (2006),https://en.wikipedia.org/wiki/The_Fast_and_the_Furious:_Tokyo_Drift,,Movie,2006,,0,Sequel,0
2 Fast 2 Furious (2003),https://en.wikipedia.org/wiki/2_Fast_2_Furious,,Movie,2003,,0,Sequel,0
The Fast and the Furious (2001),https://en.wikipedia.org/wiki/The_Fast_and_the_Furious_(2001_film),,Movie,2001,,1,,0
Five Nights at Freddy’s,https://en.wikipedia.org/wiki/Five_Nights_at_Freddy%27s_(film),,Movie,2023,,0,Adaptation,0
Five Nights at Freddy's Game,https://en.wikipedia.org/wiki/Five_Nights_at_Freddy%27s_(video_game),,Video Game,2014,,1,,0
Wonka,https://en.wikipedia.org/wiki/Wonka_(film),,Movie,2023,,0,Sequel,0
Willy Wonka & the Chocolate Factory (1971),https://en.wikipedia.org/wiki/Willy_Wonka_%26_the_Chocolate_Factory,,Movie,1971,,0,Adaptation,0
Charlie and the Chocolate Factory (1964) Novel,https://en.wikipedia.org/wiki/Charlie_and_the_Chocolate_Factory,,Book,1964,,1,,0
Puss in Boots: The Last Wish,https://en.wikipedia.org/wiki/Puss_in_Boots:_The_Last_Wish,,Movie,2023,,0,Sequel,0
Puss in Boots (2011),https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film),,Movie,2011,,0,Adaptation,0
Shrek Cinematic Universe,https://en.wikipedia.org/wiki/Shrek_(franchise),,CU,,,0,,0
Puss in Boots Fairytale ,https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film),,Fairytale,1550,,1,,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Mutant_Mayhem,,Movie,2023,,0,Remake,0
Teenage Mutant Ninja Turtles Comic Series,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles,,Comic,,,1,,0
Scream VI,https://en.wikipedia.org/wiki/Scream_VI,,Movie,2023,,0,Sequel,0
Scream (2022),https://en.wikipedia.org/wiki/Scream_(2022_film),,Movie,2022,,0,Sequel,0
Scream 4,https://en.wikipedia.org/wiki/Scream_4,,Movie,2011,,0,Sequel,0
Scream 3,https://en.wikipedia.org/wiki/Scream_3,,Movie,2000,,0,Sequel,0
Scream 2,https://en.wikipedia.org/wiki/Scream_2,,Movie,1997,,0,Sequel,0
Scream (1996),https://en.wikipedia.org/wiki/Scream_(1996_film),,Movie,1996,,1,,0
The Flash,https://en.wikipedia.org/wiki/The_Flash_(film),,Movie,2023,,0,Adaptation,0
Flash (1956) Comic Series ,https://en.wikipedia.org/wiki/Flash_(Barry_Allen),,Comic,1956,,0,,0
Flash Comics (1940),https://en.wikipedia.org/wiki/Flash_Comics,,Comic,1940,,1,,0
DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,,CU,,,1,,0
Trolls Band Together,https://en.wikipedia.org/wiki/Trolls_Band_Together,,Movie,2023,,0,Sequel,0
Trolls World Tour (2020),https://en.wikipedia.org/wiki/Trolls_World_Tour,,Movie,2020,,0,Sequel,0
Trolls,https://en.wikipedia.org/wiki/Trolls_(film),,Movie,2016,,0,Adaptation,0
Trolls Toy Line,https://en.wikipedia.org/wiki/Troll_doll,,Toy,1959,,1,,0
Dungeons & Dragons: Honor Among Thieves,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons:_Honor_Among_Thieves,,Movie,2023,,0,Adaptation,0
Forgotten Realms Setting,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons:_Adventures_in_the_Forgotten_Realms,,Game ,1987,,0,,0
Dungeons & Dragons,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons,,Game,1974,,1,,0
The Equalizer 3,https://en.wikipedia.org/wiki/The_Equalizer_3,,Movie,2023,,0,Sequel,0
The Equalizer 2,https://en.wikipedia.org/wiki/The_Equalizer_2,,Movie,2018,,0,Sequel,0
The Equalizer,https://en.wikipedia.org/wiki/The_Equalizer_3,,Movie,2014,,0,Adaptation,0
The Equalizer (1985) TV Series,https://en.wikipedia.org/wiki/The_Equalizer_(1985_TV_series),,TV,1985,,1,,0
The Nun II,https://en.wikipedia.org/wiki/The_Nun_II,,Movie,2023,,0,Sequel,0
The Conjuring: The Devil Made Me Do It,https://en.wikipedia.org/wiki/The_Conjuring:_The_Devil_Made_Me_Do_It,,Movie,2021,,0,Sequel,0
Annabelle Comes Home,https://en.wikipedia.org/wiki/Annabelle_Comes_Home,,Movie,2019,,0,Sequel,0
The Nun,https://en.wikipedia.org/wiki/The_Nun,,Movie,2018,,0,Sequel,0
Annabelle: Creation,https://en.wikipedia.org/wiki/Annabelle:_Creation,,Movie,2017,,0,Sequel,0
The Conjuring 2,https://en.wikipedia.org/wiki/The_Conjuring_2,,Movie,2016,,0,Sequel,0
Annabelle,https://en.wikipedia.org/wiki/Annabelle_(film),,Movie,2014,,0,Sequel,0
The Conjuring,https://en.wikipedia.org/wiki/The_Conjuring,,Movie,2013,,0,Adaptation,1
The Published Investigations of Ed and Lorraine Warren,https://en.wikipedia.org/wiki/Ed_and_Lorraine_Warren,,Life,1989,,1,,1
The Marvels,https://en.wikipedia.org/wiki/The_Marvels,,Movie,2023,,0,Sequel,0
Captain Marvel (2019),https://en.wikipedia.org/wiki/Captain_Marvel_(film),,Movie,2019,,0,Adaptation,0
Ms. Marvel (2022) TV Series,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries),,TV,2022,,0,,0
Generations: The Marvels Comic Issue,https://en.wikipedia.org/wiki/Generations_(Marvel_Comics),,Comic,2017,,0,,0
Captain Marvel Original Comic Series,https://en.wikipedia.org/wiki/Captain_Marvel_(Marvel_Comics),,Comic,1968,,1,,0
Meg 2: The Trench,https://en.wikipedia.org/wiki/Meg_2:_The_Trench,,Movie,2023,,0,Sequel,0
The Meg (2018),https://en.wikipedia.org/wiki/The_Meg,,Movie,2018,,0,Adaptation,0
The Trench (1999) Book,https://en.wikipedia.org/wiki/The_Trench_(novel),,Book,1999,,0,,0
Meg: A Novel of Deep Terror (1997),https://en.wikipedia.org/wiki/Meg:_A_Novel_of_Deep_Terror,,Book,1997,,1,,0
Insidious: The Red Door,https://en.wikipedia.org/wiki/Insidious:_The_Red_Door,,Movie,2023,,0,Sequel,0
Insidious: The Last Key,https://en.wikipedia.org/wiki/Insidious:_The_Last_Key,,Movie,2018,,0,Sequel,0
Insidious: Chapter 3,https://en.wikipedia.org/wiki/Insidious:_Chapter_3,,Movie,2015,,0,Sequel,0
Insidious: Chapter 2,https://en.wikipedia.org/wiki/Insidious:_Chapter_2,,Movie,2013,,0,Sequel,0
Insidious ,https://en.wikipedia.org/wiki/Insidious_(film),,Movie,2011,,1,,0
Aquaman and the Lost Kingdom,https://en.wikipedia.org/wiki/Aquaman_and_the_Lost_Kingdom,,Movie,2023,,0,Sequel,0
Aquaman (2018),https://en.wikipedia.org/wiki/Aquaman_(film),,Movie,2018,,0,Adaptation,0
Aquaman Comic Series,https://en.wikipedia.org/wiki/Aquaman,,Comic,1941,,1,,0
DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,,,,,1,,0
Blue Beetle,https://en.wikipedia.org/wiki/Blue_Beetle_(film),,Movie,2023,,0,Adaptation,0
Jaime Reyes Blue Beetle Assorted Appearances,https://en.wikipedia.org/wiki/Blue_Beetle_(Jaime_Reyes),,Comic,2006,,1,,0
Haunted Mansion,https://en.wikipedia.org/wiki/Haunted_Mansion_(2023_film),,Movie,2023,,0,Remake,0
Haunted Mansion (2003),https://en.wikipedia.org/wiki/The_Haunted_Mansion_(2003_film),,Movie,2003,,0,Adaptation,0
Haunted Mansion Park Ride,https://en.wikipedia.org/wiki/The_Haunted_Mansion,,Park Ride,1969,,1,,0
Evil Dead Rise,https://en.wikipedia.org/wiki/Evil_Dead_Rise,,Movie,2023,,0,Sequel,0
Evil Dead (2013),https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),,Movie,2013,,0,Sequel,0
Evil Dead II,https://en.wikipedia.org/wiki/Evil_Dead_II,,Movie,1987,,0,Sequel,0
Army of Darkness,https://en.wikipedia.org/wiki/Army_of_Darkness,,Movie,1993,,0,Sequel,0
The Evil Dead,https://en.wikipedia.org/wiki/The_Evil_Dead,,Movie,1981,,1,,0
Killers of the Flower Moon,https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(film),,Movie,2023,,0,Adaptation,1
