,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
525,26,Cloudy with a Chance of Meatballs 2,156687025.72592366,4001.0,34017930.0,0.284,4001.0,Sep 27,Mar 16,Sony Pictures Releasing,2013,109451.0,102022072.74303842,324880947.07582086,2013-09-27,222858874.33278245
526,27,Now You See Me,153980068.83793145,3082.0,29350389.0,0.249,2925.0,May 31,Sep 26,Lionsgate Films,2013,75656.0,98098146.86830617,460014910.04777706,2013-05-31,361916763.1794709
527,28,The Wolf of Wall Street,152903219.32025227,2557.0,18361578.0,0.157,2537.0,Dec 25,Apr 3,Paramount Pictures,2013,106646.0,130797529.15774156,512726314.29834694,2013-12-25,381928785.1406054
528,29,The Butler,152551898.46490985,3330.0,24637312.0,0.21100000000000002,2933.0,Aug 16,Feb 13,The Weinstein Company,2013,132363.0,32699382.28943539,151594336.29382247,2013-08-16,118894954.00438708
529,30,The Hangover Part III,146754921.889207,3565.0,41671198.0,0.371,3555.0,May 23,Aug 15,Warner Bros.,2013,109439.0,134721455.0324738,473487149.7252455,2013-05-23,338765694.6927717
530,31,Epic,140631779.43896943,3894.0,33531068.0,0.312,3882.0,May 24,Sep 19,Twentieth Century Fox,2013,116711.0,130797529.15774156,351095404.8732942,2013-05-24,220297875.71555263
531,32,Captain Phillips,140085272.0468155,3143.0,25718314.0,0.24,3020.0,Oct 11,Mar 2,Sony Pictures Releasing,2013,109424.0,71938641.03675786,286174282.7874758,2013-10-11,214235641.75071797
532,33,Jackass Presents: Bad Grandpa,133417428.51830167,3345.0,32055177.0,0.314,3336.0,Oct 25,Jan 23,Paramount Pictures,2013,208134.0,19619629.373661235,198591898.87822217,2013-10-25,178972269.50456095
533,34,Pacific Rim,133155685.65877824,3285.0,37285325.0,0.366,3275.0,Jul 12,Oct 17,Warner Bros.,2013,68726.0,235435552.48393482,537577844.8383179,2013-07-12,302142292.35438305
534,35,This Is the End,132720517.04736927,3055.0,20719162.0,0.204,3055.0,Jun 12,Oct 6,Sony Pictures Releasing,2013,109414.0,41855209.3304773,164858934.89375293,2013-06-12,123003725.56327564
535,36,Olympus Has Fallen,129392292.82348244,3106.0,30373794.0,0.307,3098.0,Mar 22,Jul 11,FilmDistrict,2013,117263.0,91558270.41041909,222709215.79992014,2013-03-22,131150945.38950105
536,37,42,124284090.80442314,3405.0,27487144.0,0.289,3003.0,Apr 12,Jul 25,Warner Bros.,2013,109410.0,52319011.66309662,124284090.80442314,2013-04-12,71965079.14132652
537,38,Elysium,121707253.91438763,3284.0,29807393.0,0.32,3284.0,Aug 9,Nov 24,TriStar Pictures,2013,68724.0,150417158.5314028,374264965.5146658,2013-08-09,223847806.983263
538,39,Planes,118095404.40434931,3716.0,22232291.0,0.24600000000000002,3702.0,Aug 9,Dec 19,Walt Disney Studios Motion Pictures,2013,151960.0,65398764.57887078,287478204.66362464,2013-08-09,222079440.08475387
539,40,The Lone Ranger,116804959.9056049,3904.0,29210849.0,0.327,3904.0,Jul 3,Oct 10,Walt Disney Studios Motion Pictures,2013,57201.0,281214687.6891444,340727563.45591676,2013-07-03,59512875.76677239
540,41,Oblivion,116550061.6807823,3792.0,37054485.0,0.41600000000000004,3783.0,Apr 19,Jun 27,Universal Pictures,2013,75612.0,156957034.98928988,374301421.4019927,2013-04-19,217344386.4127028
541,42,Insidious: Chapter 2,109329007.38674518,3155.0,40272103.0,0.48200000000000004,3049.0,Sep 13,Dec 19,FilmDistrict,2013,91586.0,6539876.457887078,210584021.94396392,2013-09-13,204044145.48607683
542,43,Saving Mr. Banks,108956408.38935941,2671.0,413373.0,0.005,15.0,Dec 13,Apr 17,Walt Disney Studios Motion Pictures,2013,140823.0,45779135.205209546,147205529.8409578,2013-12-13,101426394.63574824
543,44,Turbo,108598739.92992698,3809.0,21312625.0,0.257,3806.0,Jul 17,Dec 12,Twentieth Century Fox,2013,77950.0,176576664.3629511,369595470.1801792,2013-07-17,193018805.81722808
544,45,2 Guns,98899229.41538566,3028.0,27059130.0,0.358,3025.0,Aug 2,Oct 24,Universal Pictures,2013,136400.0,79786492.78622235,172574797.54856905,2013-08-02,92788304.7623467
545,46,White House Down,95617943.19281241,3222.0,24852258.0,0.34,3222.0,Jun 28,Sep 15,Sony Pictures Releasing,2013,117251.0,196196293.73661235,268614617.70787746,2013-06-28,72418323.9712651
546,47,Mama,93687889.6206596,2781.0,28402310.0,0.397,2647.0,Jan 18,Apr 4,Universal Pictures,2013,132232.0,19619629.373661235,191615464.73916644,2013-01-18,171995835.36550522
547,48,Safe Haven,93322886.03579202,3223.0,21401594.0,0.3,3223.0,Feb 14,May 30,Relativity Media,2013,112949.0,36623308.164167635,127658388.45795576,2013-02-14,91035080.29378814
548,49,The Smurfs 2,92889506.73458192,3867.0,17548389.0,0.247,3866.0,Jul 31,Nov 17,Sony Pictures Releasing,2013,77931.0,137337405.61562863,454435320.2735097,2013-07-31,317097914.657881
549,50,The Best Man Holiday,92245212.49367909,2041.0,30107555.0,0.42700000000000005,2024.0,Nov 15,Jan 9,Universal Pictures,2013,146304.0,22235579.956816066,93683985.31441425,2013-11-15,71448405.35759819
550,1,The Avengers,827279466.7666403,4349.0,207438708.0,0.33299999999999996,4349.0,May 4,Oct 4,Walt Disney Studios Motion Pictures,2012,24428.0,291969476.5542654,2015671685.895668,2012-05-04,1723702209.3414025
551,2,The Dark Knight Rises,594740627.9933187,4404.0,160887295.0,0.359,4404.0,Jul 20,Dec 13,Warner Bros.,2012,49026.0,331783496.0843924,1434686630.4497244,2012-07-20,1102903134.3653321
552,3,The Hunger Games,541484855.326289,4137.0,152535747.0,0.374,4137.0,Mar 23,Sep 6,Lionsgate Films,2012,70160.0,99535048.82531774,921554836.765107,2012-03-23,822019787.9397893
553,4,Skyfall,403926867.08909637,3526.0,88364714.0,0.29,3505.0,Nov 9,Mar 10,Sony Pictures Releasing,2012,37724.0,265426796.86751395,1516212481.7246532,2012-11-09,1250785684.8571393
554,5,The Hobbit: An Unexpected Journey,402126332.46833974,4100.0,84617303.0,0.27899999999999997,4045.0,Dec 14,Apr 25,Warner Bros.,2012,49051.0,331783496.0843924,1355141246.6211488,2012-12-14,1023357750.5367564
555,6,The Twilight Saga: Breaking Dawn - Part 2,387954092.9352422,4070.0,141067634.0,0.483,4070.0,Nov 16,Mar 7,Lionsgate Films,2012,50620.0,159256078.12050837,1101186310.0477712,2012-11-16,941930231.9272628
556,7,The Amazing Spider-Man,347749797.805805,4318.0,62004688.0,0.237,4318.0,Jul 3,Oct 14,Sony Pictures Releasing,2012,1930.0,285333806.63257754,1005875540.6388059,2012-07-03,720541734.0062283
557,8,Brave,314906607.9223063,4164.0,66323594.0,0.28,4164.0,Jun 22,Jan 17,Walt Disney Studios Motion Pictures,2012,62177.0,245519787.10245043,715325217.5579501,2012-06-22,469805430.4554997
558,9,Ted,290397469.0970757,3303.0,54415205.0,0.249,3239.0,Jun 29,Oct 25,Universal Pictures,2012,72105.0,66356699.21687849,729085360.7547672,2012-06-29,662728661.5378886
559,10,Madagascar 3: Europe's Most Wanted,287180489.68337154,4263.0,60316738.0,0.27899999999999997,4258.0,Jun 8,Oct 18,DreamWorks,2012,80321.0,192434427.72894764,991236372.9017309,2012-06-08,798801945.1727833
560,11,The Lorax,284207799.8035663,3769.0,70217070.0,0.32799999999999996,3729.0,Mar 2,Jul 26,Universal Pictures,2012,73723.0,92899378.90362988,463575063.2712266,2012-03-02,370675684.3675967
561,12,Wreck-It Ralph,251389553.40330324,3752.0,49038712.0,0.259,3752.0,Nov 2,May 2,Walt Disney Studios Motion Pictures,2012,82690.0,218977107.41569903,625375910.1896304,2012-11-02,406398802.7739314
