ID,Item,Wiki_Link,Image_Link,Medium,Year,Original,Adaptation_Type,Based on Real Life?,BoxOff_Rank,Domestic_Gross,Worldwide_Gross,Production_Budget,Profit
ID-177,Paw Patrol: The Movie,https://en.wikipedia.org/wiki/PAW_Patrol:_The_Movie,,Movie,2021,0,Adaptation,0,39,40127371.00,144327371.00,26000000.00,118327371.00
ID-178,Paw Patrol TV Series,https://en.wikipedia.org/wiki/PAW_Patrol,,TV,2013,1,,0,39,,,,
ID-179,Cocaine Bear,https://en.wikipedia.org/wiki/Cocaine_Bear,,Movie,2023,0,,1,40,64670240.00,87649532.00,32500000.00,55149532.00
ID-180,Cocaine Bear incident of 1985,https://en.wikipedia.org/wiki/Cocaine_Bear_(bear),,Life,1985,1,,1,40,,,,
ID-181,A Man Called Otto,https://en.wikipedia.org/wiki/A_Man_Called_Otto,,Movie,2023,0,Reimagining,0,41,64228358.00,108961677.00,50000000.00,58961677.00
ID-182,A Man Called Ove Film,https://en.wikipedia.org/wiki/A_Man_Called_Ove_(film),,Movie,2015,0,Adaptation,0,41,3479315.00,30692889.00,300000.00,30392889.00
ID-183,A Man Called Ove Book,https://en.wikipedia.org/wiki/A_Man_Called_Ove_(novel),,Book,2012,1,,0,41,,,,
ID-184,Wish,https://en.wikipedia.org/wiki/Wish_(film),,Movie,2023,1,,0,42,60609147.00,251720820.00,175000000.00,76720820.00
ID-185,Napoleon,https://en.wikipedia.org/wiki/Napoleon_(2023_film),,Movie,2023,0,,1,43,60534093.00,220597098.00,165000000.00,55597098.00
ID-186,Life of Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,,Life,1769,1,,1,43,,,,
ID-187,Shazam! Fury of the Gods,https://en.wikipedia.org/wiki/Shazam!_Fury_of_the_Gods,,Movie,2023,0,Sequel,0,44,57721819.00,134038006.00,125000000.00,9038006.00
ID-188,Shazam!,https://en.wikipedia.org/wiki/Shazam!_(film),,Movie,2019,0,Adaptation,0,44,140480049.00,367799011.00,80000000.00,287799011.00
ID-189,Shazam/Captain Marvel Comic Character,https://en.wikipedia.org/wiki/Captain_Marvel_(DC_Comics),,Comic,1939,1,,0,44,,,,
ID-190,Migration,https://en.wikipedia.org/wiki/Migration_(2023_film),,Movie,2023,1,,0,45,54103955.00,297404638.00,72000000.00,225404638.00
ID-191,Saw X,https://en.wikipedia.org/wiki/Saw_X,,Movie,2023,0,Sequel,0,46,53607898.00,111822402.00,13000000.00,98822402.00
ID-192,Saw,https://en.wikipedia.org/wiki/Saw_(film),,Movie,2004,1,,0,46,56000369.00,103911669.00,1200000.00,102711669.00
ID-193,Saw II,https://en.wikipedia.org/wiki/Saw_II,,Movie,2005,0,Sequel,0,46,87039965.00,147748505.00,4000000.00,143748505.00
ID-194,Saw III,https://en.wikipedia.org/wiki/Saw_III,,Movie,2006,0,Sequel,0,46,80238724.00,164876498.00,10000000.00,154876498.00
ID-195,Saw IV,https://en.wikipedia.org/wiki/Saw_IV,,Movie,2007,0,Sequel,0,46,63300095.00,139352633.00,10000000.00,129352633.00
ID-196,Saw V,https://en.wikipedia.org/wiki/Saw_V,,Movie,2008,0,Sequel,0,46,56746769.00,113864059.00,10800000.00,103064059.00
ID-197,Saw VI,https://en.wikipedia.org/wiki/Saw_VI,,Movie,2009,0,Sequel,0,46,27693292.00,68234154.00,11000000.00,57234154.00
ID-198,Saw 3D,https://en.wikipedia.org/wiki/Saw_3D,,Movie,2010,0,Sequel,0,46,45710178.00,136435701.00,20000000.00,116435701.00
ID-199,Jigsaw,https://en.wikipedia.org/wiki/Jigsaw_(2017_film),,Movie,2017,0,Sequel,0,46,38052832.00,102952888.00,10000000.00,92952888.00
ID-200,Spiral,https://en.wikipedia.org/wiki/Spiral_(2021_film),,Movie,2021,0,Sequel,0,46,23216862.00,40618920.00,20000000.00,20618920.00
ID-201,AIR,https://en.wikipedia.org/wiki/Air_(2023_film),,Movie,2023,0,,1,47,52460106.00,90100000.00,80000000.00,10100000.00
ID-202,Based on the origins of Air Jordan Brand,https://en.wikipedia.org/wiki/Air_Jordan,,Life,1984,0,,1,47,,,,
ID-203,Jesus Revolution,https://en.wikipedia.org/wiki/Jesus_Revolution,,Movie,2023,0,Adaptation,1,48,52102987.00,52300000.00,15000000.00,37300000.00
ID-204,Jesus Revolution Book,https://en.wikipedia.org/wiki/Jesus_Revolution,,Book,2018,0,,1,48,,,,
ID-205,Life of Greg Laurie,https://en.wikipedia.org/wiki/Greg_Laurie,,Life,1952,1,,1,48,,,,
ID-206,No Hard Feelings,https://en.wikipedia.org/wiki/No_Hard_Feelings_(2023_film),,Movie,2023,1,,0,49,50452282.00,83000000.00,45000000.00,38000000.00
ID-207,Talk To Me,https://en.wikipedia.org/wiki/Talk_to_Me_(2022_film),,Movie,2023,1,,0,50,48299436.00,92000000.00,4500000.00,87500000.00
ID-208,Spiderverse Film Series,,,Series,,0,,0,2,,,,
ID-209,Guardians of the Galaxy Film Series,,,Series,,0,,0,4,,,,
ID-210,Ant-Man Film Series,,,Series,,0,,0,8,,,,
ID-211,John Wick Series,,,Series,,1,,0,9,,,,
ID-212,Indiana Jones Film Series,,,Series,,1,,0,12,,,,
ID-213,Mission: Impossible Film Series,,,Series,,0,,0,13,,,,
ID-214,The Hunger Games Movie Series,,,Series,,0,,0,14,,,,
ID-215,Transformers Film Series,,,Series,,0,,0,15,,,,
ID-216,Rocky Film Series,,,Series,,1,,0,15,,,,
ID-217,Fast & Furious Film Series,,,Series,,1,,0,18,,,,
ID-218,Scream Film Series,,,Series,,1,,0,23,,,,
ID-219,Trolls Film Series,,,Series,,0,,0,25,,,,
ID-220,The Equalizer Film Series,,,Series,,0,,0,28,,,,
ID-221,The Conjuring Film Series,,,Series,,0,,1,29,,,,
ID-222,Captain Marvel Film Series,,,Series,,0,,0,30,,,,
ID-223,The Meg Film Series,,,Series,,0,,0,31,,,,
ID-224,Insidious Film Series,,,Series,,1,,0,32,,,,
ID-225,Aquaman Film Series,,,Series,,0,,0,33,,,,
ID-226,The Evil Dead Film Series,,,Series,,1,,0,36,,,,
ID-227,The Exorcist Film Series,,,Series,,0,,0,38,,,,
ID-228,Paw Patrol Film Series,,,Series,,0,,0,39,,,,
ID-229,Shazam Film Series,,,Series,,0,,0,44,,,,
ID-230,Saw Film Series,,,Series,,1,,0,46,,,,
