ID,Item,Wiki_Link,Image_Link,Medium,Year,Original,Adaptation_Type,Based on Real Life?,BoxOff_Rank,Domestic_Gross,Worldwide_Gross,Production_Budget,Profit
ID-123,Forgotten Realms Setting,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons:_Adventures_in_the_Forgotten_Realms,,Game,1987,0,,0,27,,,,
ID-124,Dungeons & Dragons,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons,,Game,1974,1,,0,27,,,,
ID-125,The Equalizer 3,https://en.wikipedia.org/wiki/The_Equalizer_3,,Movie,2023,0,Sequel,0,28,92373751.00,190000000.00,70000000.00,120000000.00
ID-126,The Equalizer 2,https://en.wikipedia.org/wiki/The_Equalizer_2,,Movie,2018,0,Sequel,0,28,102084362.00,190400157.00,62000000.00,128400157.00
ID-127,The Equalizer,https://en.wikipedia.org/wiki/The_Equalizer_3,,Movie,2014,0,Adaptation,0,28,101530738.00,192330738.00,55000000.00,137330738.00
ID-128,The Equalizer TV Series,https://en.wikipedia.org/wiki/The_Equalizer_(1985_TV_series),,TV,1985,1,,0,28,,,,
ID-129,The Nun II,https://en.wikipedia.org/wiki/The_Nun_II,,Movie,2023,0,Sequel,0,29,86270590.00,268100000.00,38500000.00,229600000.00
ID-130,The Conjuring: The Devil Made Me Do It,https://en.wikipedia.org/wiki/The_Conjuring:_The_Devil_Made_Me_Do_It,,Movie,2021,0,Sequel,0,29,65631050.00,206400000.00,39000000.00,167400000.00
ID-131,Annabelle Comes Home,https://en.wikipedia.org/wiki/Annabelle_Comes_Home,,Movie,2019,0,Sequel,0,29,74152591.00,231300000.00,30000000.00,201300000.00
ID-132,The Nun,https://en.wikipedia.org/wiki/The_Nun,,Movie,2018,0,Sequel,0,29,117481222.00,366082797.00,22000000.00,344082797.00
ID-133,Annabelle: Creation,https://en.wikipedia.org/wiki/Annabelle:_Creation,,Movie,2017,0,Sequel,0,29,102092201.00,306500000.00,15000000.00,291500000.00
ID-134,The Conjuring 2,https://en.wikipedia.org/wiki/The_Conjuring_2,,Movie,2016,0,Sequel,0,29,102516140.00,321800000.00,40000000.00,281800000.00
ID-135,Annabelle,https://en.wikipedia.org/wiki/Annabelle_(film),,Movie,2014,0,Sequel,0,29,84284252.00,257000000.00,6500000.00,250500000.00
ID-136,The Conjuring,https://en.wikipedia.org/wiki/The_Conjuring,,Movie,2013,0,Adaptation,1,29,137446368.00,320400000.00,13000000.00,307400000.00
ID-137,The Published Investigations of Ed and Lorraine Warren,https://en.wikipedia.org/wiki/Ed_and_Lorraine_Warren,,Life,1989,1,,1,29,,,,
ID-138,The Marvels,https://en.wikipedia.org/wiki/The_Marvels,,Movie,2023,0,Sequel,0,30,84479155.00,207089999.00,274800000.00,-67710001.00
ID-139,Captain Marvel,https://en.wikipedia.org/wiki/Captain_Marvel_(film),,Movie,2019,0,Adaptation,0,30,426829839.00,1131416446.00,152000000.00,979416446.00
ID-140,Ms. Marvel TV Series,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries),,TV,2022,0,,0,30,,,,
ID-141,Ms. Marvel (Kamala Khan),https://en.wikipedia.org/wiki/Kamala_Khan,,Comic,2014,0,,0,30,,,,
ID-142,Generations: The Marvels Comic Issue,https://en.wikipedia.org/wiki/Generations_(Marvel_Comics),,Comic,2017,0,,0,30,,,,
ID-143,Captain Marvel Original Comic Series,https://en.wikipedia.org/wiki/Captain_Marvel_(Marvel_Comics),,Comic,1968,1,,0,30,,,,
ID-144,Meg 2: The Trench,https://en.wikipedia.org/wiki/Meg_2:_The_Trench,,Movie,2023,0,Sequel,0,31,82633033.00,384056482.00,129000000.00,255056482.00
ID-145,The Meg,https://en.wikipedia.org/wiki/The_Meg,,Movie,2018,0,Adaptation,0,31,145522784.00,530517320.00,150000000.00,380517320.00
ID-146,The Trench Book,https://en.wikipedia.org/wiki/The_Trench_(novel),,Book,1999,0,,0,31,,,,
ID-147,Meg: A Novel of Deep Terror,https://en.wikipedia.org/wiki/Meg:_A_Novel_of_Deep_Terror,,Book,1997,1,,0,31,,,,
ID-148,Insidious: The Red Door,https://en.wikipedia.org/wiki/Insidious:_The_Red_Door,,Movie,2023,0,Sequel,0,32,82156962.00,185582093.00,16000000.00,169582093.00
ID-149,Insidious: The Last Key,https://en.wikipedia.org/wiki/Insidious:_The_Last_Key,,Movie,2018,0,Sequel,0,32,82156962.00,167885588.00,10000000.00,157885588.00
ID-150,Insidious: Chapter 3,https://en.wikipedia.org/wiki/Insidious:_Chapter_3,,Movie,2015,0,Sequel,0,32,52218558.00,112983889.00,10000000.00,102983889.00
ID-151,Insidious: Chapter 2,https://en.wikipedia.org/wiki/Insidious:_Chapter_2,,Movie,2013,0,Sequel,0,32,83586447.00,161000000.00,5000000.00,156000000.00
ID-152,Insidious,https://en.wikipedia.org/wiki/Insidious_(film),,Movie,2011,1,,0,32,54009150.00,99870886.00,1500000.00,98370886.00
ID-153,Aquaman and the Lost Kingdom,https://en.wikipedia.org/wiki/Aquaman_and_the_Lost_Kingdom,,Movie,2023,0,Sequel,0,33,76469713.00,434381226.00,205000000.00,229381226.00
ID-154,Aquaman,https://en.wikipedia.org/wiki/Aquaman_(film),,Movie,2018,0,Adaptation,0,33,335104314.00,1152028393.00,160000000.00,992028393.00
ID-155,Aquaman Comic Series,https://en.wikipedia.org/wiki/Aquaman,,Comic,1941,1,,0,33,,,,
ID-156,Blue Beetle,https://en.wikipedia.org/wiki/Blue_Beetle_(film),,Movie,2023,0,Adaptation,0,34,72541501.00,130788072.00,104000000.00,26788072.00
ID-157,Blue Beetle (Jaime Reyes),https://en.wikipedia.org/wiki/Blue_Beetle_(Jaime_Reyes),,Comic,2006,1,,0,34,,,,
ID-158,Haunted Mansion,https://en.wikipedia.org/wiki/Haunted_Mansion_(2023_film),,Movie,2023,0,Remake,0,35,67653287.00,117300000.00,157800000.00,-40500000.00
ID-159,Haunted Mansion (2003),https://en.wikipedia.org/wiki/The_Haunted_Mansion_(2003_film),,Movie,2003,0,Adaptation,0,35,67653287.00,182290266.00,90000000.00,92290266.00
ID-160,Haunted Mansion Park Ride,https://en.wikipedia.org/wiki/The_Haunted_Mansion,,Park Ride,1969,1,,0,35,,,,
ID-161,Evil Dead Rise,https://en.wikipedia.org/wiki/Evil_Dead_Rise,,Movie,2023,0,Sequel,0,36,67356372.00,146700000.00,15000000.00,131700000.00
ID-162,Evil Dead,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),,Movie,2013,0,Sequel,0,36,54239856.00,97542952.00,17000000.00,80542952.00
ID-163,Evil Dead II,https://en.wikipedia.org/wiki/Evil_Dead_II,,Movie,1987,0,Sequel,0,36,5923044.00,10900000.00,3500000.00,7400000.00
ID-164,Army of Darkness,https://en.wikipedia.org/wiki/Army_of_Darkness,,Movie,1993,0,Sequel,0,36,11502976.00,21502976.00,11000000.00,10502976.00
ID-165,The Evil Dead,https://en.wikipedia.org/wiki/The_Evil_Dead,,Movie,1981,1,,0,36,2400000.00,29612367.00,350000.00,29262367.00
ID-166,Killers of the Flower Moon,https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(film),,Movie,2023,0,Adaptation,1,37,67292161.00,156922344.00,200000000.00,-43077656.00
ID-167,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI Book,https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(book),,Book,2017,0,,1,37,,,,
ID-168,The Osage Murders,https://en.wikipedia.org/wiki/Osage_Indian_murders,,Life,1918,1,,1,37,,,,
ID-169,The Exorcist: Believer,https://en.wikipedia.org/wiki/The_Exorcist:_Believer,,Movie,2023,0,Sequel,0,38,65537395.00,134800000.00,30000000.00,104800000.00
ID-170,Dominion,https://en.wikipedia.org/wiki/Dominion:_Prequel_to_the_Exorcist,,Movie,2005,0,Sequel,0,38,251495.00,252000.00,30000000.00,-29748000.00
ID-171,Exorcist: The Beginning,https://en.wikipedia.org/wiki/Exorcist:_The_Beginning,,Movie,2004,0,Sequel,0,38,41821986.00,78000586.00,80000000.00,-1999414.00
ID-172,The Exorcist III,https://en.wikipedia.org/wiki/The_Exorcist_III,,Movie,1990,0,Sequel,0,38,26098824.00,39000000.00,9300000.00,29700000.00
ID-173,The Exorcist II: The Heretic,https://en.wikipedia.org/wiki/Exorcist_II:_The_Heretic,,Movie,1977,0,Sequel,0,38,30749142.00,30800000.00,14000000.00,16800000.00
ID-174,The Exorcist,https://en.wikipedia.org/wiki/The_Exorcist,,Movie,1973,0,Adaptation,0,38,233005644.00,441400000.00,12000000.00,429400000.00
ID-175,The Exorcist Book,https://en.wikipedia.org/wiki/The_Exorcist_(novel),,Book,1971,1,,0,38,,,,
ID-176,PAW Patrol: The Mighty Movie,https://en.wikipedia.org/wiki/PAW_Patrol:_The_Mighty_Movie,,Movie,2023,0,Sequel,0,39,65343309.00,202231360.00,30000000.00,172231360.00
